descrip_vc;fec_lim;fec_pago;moneda;nemo;num_acc_ant;num_acc_der;num_acc_nue;pre_ant_vc;pre_ex_vc;val_acc
REMANENTE EMISION DE PAGO $ 5,75;2021-03-12;2022-08-14;;ENJOY;4694959928;0;0;0;0;5.75
EMIS PAGO INF 0,2879376464 X 1 $ 160;2020-07-13;2022-02-20;;SECURITY;3924441136;0;0;0;0;160
DIVIDENDO PROV US$ 0,9;2021-09-14;2021-10-12;US$;MO;0;100000;0;0;0;0.9
DIVIDENDO US$ 0,65;2021-09-14;2021-10-07;US$;MRK;0;100000;0;0;0;0.65
DIVIDENDO PROV US$ 0,1938;2021-09-07;2021-10-06;US$;HPQ;0;100000;0;0;0;0.194
DIVIDENDO US$ 0,48;2021-09-14;2021-10-05;US$;CPK;0;150000;0;0;0;0.48
DIVIDENDO US$ 0,275;2021-08-27;2021-10-01;US$;NKE;0;100000;0;0;0;0.275
DIVIDENDO PROV US$ 0,93;2021-09-09;2021-10-01;US$;ADP;0;100000;0;0;0;0.93
DIVIDENDO PROV US$ 0,42;2021-09-14;2021-10-01;US$;KO;0;100000;0;0;0;0.42
DIVIDENDO US$ 1,075;2021-09-02;2021-09-30;US$;PEP;0;100000;0;0;0;1.075
DIVIDENDO PROV US$ 0,88;2021-09-09;2021-09-30;US$;TRV;0;100000;0;0;0;0.88
DIVIDENDO PROV US$ 1,07;2021-08-30;2021-09-30;US$;UNP;0;100000;0;0;0;1.07
DIVIDENDO US$ 0,32;2021-09-15;2021-09-30;US$;AIG;0;100000;0;0;0;0.32
DIVIDENDO PROV US$ 0,71;2021-09-14;2021-09-29;US$;GILD;0;100000;0;0;0;0.71
REPARTO CAPITAL $ 6,242917401;2021-09-16;;;CFIACCIA-E;0;0;0;0;0;0
REPARTO CAPITAL $ 6,242903831;2021-09-16;;;CFIACCIP-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,01247551;2021-09-16;;;CFIPICWP-E;0;0;0;0;0;0
REPARTO CAPITAL $ 444,187352177;2021-09-16;;;CFICPIIB-E;0;0;0;0;0;0
REPARTO CAPITAL $ 426,012154155;2021-09-16;;;CFICPIIR-E;0;0;0;0;0;0
DIVIDENDO US$ 0,21;2021-09-02;2021-09-24;US$;BAC;0;100000;0;0;0;0.21
DIVIDENDO PROV $ 5,541997764;2021-09-16;2021-09-24;$;CFIACCIP-E;0;5797142;0;0;0;5.542
DIVIDENDO PROV $ 7,283767733;2021-09-16;2021-09-24;$;CFIACCIA-E;0;26832487;0;0;0;7.284
DIVIDENDO PROV 155 $ 16,4;2021-09-16;2021-09-24;$;BOLSASTGO;0;48000000;0;0;0;16.4
REPARTO CAPITAL $ 25;2021-09-15;;;CFIADAG-A;10000000;0;10000000;131.2;131.2;0
REPARTO CAPITAL US$ 0,0152088652;2021-09-15;;;CFIPE18A-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0152090451;2021-09-15;;;CFIPE18B-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0152090469;2021-09-15;;;CFIPE18C-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,006916667;2021-09-15;;;CFIMFUS-E;10000000;0;10000000;750.69;750.69;0
REPARTO CAPITAL EURO 0,05460650402380540;2021-09-15;;;CFIAPEVIII;1000000;0;1000000;0;0;0
DIVIDENDO US$ 0,68;2021-09-01;2021-09-23;US$;QCOM;0;100000;0;0;0;0.68
DIVIDENDO US$ 0,55;2021-09-08;2021-09-23;US$;NEM;0;100000;0;0;0;0.55
DIVIDENDO PROV $ 151,98137362637400;2021-09-15;2021-09-23;$;CFIALHDA-E;0;291200;0;0;0;151.981
DIVIDENDO PROV $ 154,36635180151100;2021-09-15;2021-09-23;$;CFIALHDB-E;0;306798;0;0;0;154.366
DIVIDENDO PROV US$ 0,00559296200;2021-09-15;2021-09-23;US$;CFILVDAS-E;0;5000000;0;0;0;0.006
DIVIDENDO PROV US$ 0,009396007581965930;2021-09-15;2021-09-23;US$;CFILVEPI-E;0;5435002;0;0;0;0.009
DIVIDENDO PROV US$ 0,009041737335004790;2021-09-15;2021-09-23;US$;CFILVEPR-E;0;5858352;0;0;0;0.009
DIVIDENDO PROV US$ 0,0054126841518931100;2021-09-15;2021-09-23;US$;CFILVDAF-E;0;6910939;0;0;0;0.005
DIVIDENDO PROV US$ 0,008852420763608190;2021-09-15;2021-09-23;US$;CFILVEPF-E;0;7208304;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088859381;2021-09-15;2021-09-23;US$;CFIPE18C-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088859348;2021-09-15;2021-09-23;US$;CFIPE18B-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088858348;2021-09-15;2021-09-23;US$;CFIPE18A-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0054774756647230800;2021-09-15;2021-09-23;US$;CFILVDAR-E;0;13358796;0;0;0;0.005
DIVIDENDO PROV US$ 0,0055766537916833200;2021-09-15;2021-09-23;US$;CFILVDAI-E;0;25328447;0;0;0;0.006
DIVIDENDO PROV US$ 0,00946836997098830;2021-09-15;2021-09-23;US$;CFILVEPS-E;0;31820268;0;0;0;0.009
DIVIDENDO PROV EURO 0,05282276276439500;2021-09-15;2021-09-23;EURO;CFIAPEVIII;0;36317487;0;0;0;0.053
DIVIDENDO PROV $ 0,825712300028172;2021-09-15;2021-09-23;$;CFIADAG-A;0;43680120;0;0;0;0.826
DIVIDENDO PROV $ 80;2021-09-15;2021-09-23;$;LIPIGAS;0;113574515;0;0;0;80
DIVIDENDO EVEN 45 $ 116;2021-09-15;2021-09-23;$;FORUS;0;258469000;0;0;0;116
DIVIDENDO PROV $ 0,014993391812689700;2021-09-15;2021-09-23;$;CFIADAGB-E;0;5092007706;0;0;0;0.015
DIVIDENDO PROV US$ 0,045;2021-08-31;2021-09-22;US$;HAL;0;100000;0;0;0;0.045
